기간	자치구	동	합계	합계	합계	합계	합계	농업 임업 및 어업	농업 임업 및 어업	광업	광업	제조업	제조업	전기 가스 증기 및 수도사업	전기 가스 증기 및 수도사업	하수 · 폐기물 처리 원료재생 및 환경복원업	하수 · 폐기물 처리 원료재생 및 환경복원업	건설업	건설업	도매 및 소매업	도매 및 소매업	운수업	운수업	숙박 및 음식점업	숙박 및 음식점업	출판 영상 방송통신 및 정보서비스업	출판 영상 방송통신 및 정보서비스업	금융 및 보험업	금융 및 보험업	부동산업 및 임대업	부동산업 및 임대업	전문 과학 및 기술 서비스업	전문 과학 및 기술 서비스업	사업시설관리 및 사업지원 서비스업	사업시설관리 및 사업지원 서비스업	공공행정 국방 및 사회보장 행정	공공행정 국방 및 사회보장 행정	교육 서비스업	교육 서비스업	보건업 및 사회복지 서비스업	보건업 및 사회복지 서비스업	예술 스포츠 및 여가관련 서비스업	예술 스포츠 및 여가관련 서비스업	협회 및 단체 수리  및 기타 개인 서비스업	협회 및 단체 수리  및 기타 개인 서비스업
기간	자치구	동	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	동	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2015	성동구	소계	26,130	7,617	162,019	97,243	64,776	-	-	-	-	4,650	28,795	10	816	31	439	661	6,049	7,090	31,229	2,641	7,832	3,494	11,232	707	8,114	289	3,662	1,156	5,269	1,023	9,883	307	16,968	44	4,052	785	11,076	654	6,965	522	2,000	2,066	7,638
2015	성동구	왕십리2동	760	278	2,371	1,048	1,323	-	-	-	-	158	554	-	-	-	-	22	117	151	408	103	136	87	193	6	24	5	40	51	163	11	39	8	54	2	21	30	166	27	243	18	49	81	164
2015	성동구	마장동	3,248	808	12,544	8,370	4,174	-	-	-	-	312	1,024	2	144	2	23	44	252	1,670	5,197	533	965	233	689	22	66	10	131	83	280	38	373	10	1,853	3	188	50	421	51	403	30	130	155	405
2015	성동구	사근동	1,092	377	11,115	5,854	5,261	-	-	-	-	45	142	-	-	2	4	11	28	191	588	72	86	431	1,779	23	95	10	58	40	106	44	530	22	57	2	70	51	5,277	12	1,921	59	169	77	205
2015	성동구	행당1동	1,399	553	8,665	4,427	4,238	-	-	-	-	84	259	2	246	-	-	25	284	421	1,476	102	228	294	1,395	28	300	14	141	61	241	30	185	15	116	7	2,194	59	335	66	535	39	234	152	496
2015	성동구	행당2동	565	252	1,917	744	1,173	-	-	-	-	13	32	-	-	-	-	21	37	121	322	87	107	63	211	2	3	5	45	35	146	9	22	4	8	2	50	73	511	41	232	11	36	78	155
2015	성동구	응봉동	378	127	1,008	536	472	-	-	-	-	13	26	-	-	1	2	19	69	62	128	108	123	37	93	2	3	2	8	22	108	2	3	-	-	2	37	35	236	17	88	10	16	46	68
2015	성동구	금호1가동	541	192	1,943	940	1,003	-	-	-	-	45	207	1	20	-	-	14	111	88	250	105	145	69	183	5	23	4	30	36	131	7	49	5	13	2	51	41	270	32	206	15	61	72	193
2015	성동구	금호4가동	618	255	1,887	860	1,027	-	-	-	-	42	126	-	-	1	2	10	80	141	373	69	90	117	300	2	3	5	55	44	119	14	31	4	10	2	16	30	247	41	241	20	46	76	148
2015	성동구	성수1가1동	1,486	380	6,747	4,324	2,423	-	-	-	-	498	2,163	1	119	-	-	34	269	316	1,098	144	219	121	314	42	327	6	72	62	181	64	397	11	170	1	17	52	488	26	195	21	504	87	214
2015	성동구	성수1가2동	2,128	527	16,991	10,475	6,516	-	-	-	-	464	2,824	1	4	7	67	77	915	478	3,423	169	872	268	826	139	2,111	10	285	97	470	126	1,227	32	2,453	2	23	58	418	29	205	41	76	130	792
2015	성동구	성수2가1동	2,568	684	18,130	11,596	6,534	-	-	-	-	719	4,352	-	-	-	-	58	495	604	4,585	203	596	335	848	113	1,881	8	308	79	249	115	1,274	34	1,278	5	809	32	522	43	267	49	129	171	537
2015	성동구	성수2가3동	4,918	1,013	44,795	29,202	15,593	-	-	-	-	1,501	13,647	-	-	4	31	156	2,172	1,151	7,836	374	1,668	409	1,646	241	2,847	37	841	192	1,651	367	4,505	85	4,259	2	65	42	643	42	367	73	162	242	2,455
2015	성동구	송정동	702	185	2,650	1,648	1,002	-	-	-	-	128	648	-	-	2	4	36	179	151	377	113	288	77	153	4	10	1	1	22	27	53	238	6	15	3	272	14	78	13	141	12	17	67	202
2015	성동구	용답동	2,108	560	15,296	9,642	5,654	-	-	-	-	204	1,248	2	282	9	280	50	430	760	2,768	141	1,855	252	700	37	160	114	638	88	275	57	723	33	4,354	2	56	38	244	42	392	40	102	239	789
2015	성동구	왕십리도선동	1,848	655	10,617	5,205	5,412	-	-	-	-	284	1,069	1	1	2	24	42	482	422	1,522	116	193	387	1,059	29	218	44	905	117	738	56	184	29	2,285	3	89	65	545	73	857	38	88	140	358
2015	성동구	금호2.3가동	975	415	2,528	1,116	1,412	-	-	-	-	98	285	-	-	-	-	16	37	206	419	142	185	191	403	2	10	8	63	52	141	7	38	5	23	2	47	40	141	54	437	21	84	131	215
